2024-10-17 11:26:46,164 - INFO - Mapping ('2', '2540') to 20002540.tif
2024-10-17 11:26:46,164 - INFO - Mapping ('2', '2549') to 20002549.tif
2024-10-17 11:26:46,165 - INFO - Mapping ('2', '2564') to 20002564.tif
2024-10-17 11:26:46,165 - INFO - Mapping ('1', '2351') to 10002351.tif
2024-10-17 11:26:46,165 - INFO - Mapping ('2', '2261') to 20002261.tif
2024-10-17 11:26:46,165 - INFO - Mapping ('1', '2306') to 10002306.tif
2024-10-17 11:26:46,165 - INFO - Mapping ('1', '2255') to 10002255.tif
2024-10-17 11:26:46,165 - INFO - Mapping ('2', '2226') to 20002226.tif
2024-10-17 11:26:46,166 - INFO - Mapping ('1', '2581') to 10002581.tif
2024-10-17 11:26:46,166 - INFO - Mapping ('1', '2381') to 10002381.tif
2024-10-17 11:26:46,166 - INFO - Mapping ('1', '2209') to 10002209.tif
2024-10-17 11:26:46,166 - INFO - Mapping ('2', '2291') to 20002291.tif
2024-10-17 11:26:46,167 - INFO - Mapping ('1', '2259') to 10002259.tif
2024-10-17 11:26:46,167 - INFO - Mapping ('1', '2479') to 10002479.tif
2024-10-17 11:26:46,167 - INFO - Mapping ('1', '2225') to 10002225.tif
2024-10-17 11:26:46,167 - INFO - Mapping ('2', '2481') to 20002481.tif
2024-10-17 11:26:46,167 - INFO - Mapping ('1', '2350') to 10002350.tif
2024-10-17 11:26:46,169 - INFO - Mapping ('1', '2316') to 10002316.tif
2024-10-17 11:26:46,169 - INFO - Mapping ('1', '2289') to 10002289.tif
2024-10-17 11:26:46,169 - INFO - Mapping ('1', '2570') to 10002570.tif
2024-10-17 11:26:46,170 - INFO - Mapping ('1', '2403') to 10002403.tif
2024-10-17 11:26:46,170 - INFO - Mapping ('1', '2411') to 10002411.tif
2024-10-17 11:26:46,170 - INFO - Mapping ('1', '2590') to 10002590.tif
2024-10-17 11:26:46,170 - INFO - Mapping ('1', '2326') to 10002326.tif
2024-10-17 11:26:46,170 - INFO - Mapping ('2', '2249') to 20002249.tif
2024-10-17 11:26:46,171 - INFO - Mapping ('1', '2567') to 10002567.tif
2024-10-17 11:26:46,171 - INFO - Mapping ('1', '2240') to 10002240.tif
2024-10-17 11:26:46,171 - INFO - Mapping ('1', '2469') to 10002469.tif
2024-10-17 11:26:46,171 - INFO - Mapping ('1', '2528') to 10002528.tif
2024-10-17 11:26:46,171 - INFO - Mapping ('1', '2287') to 10002287.tif
2024-10-17 11:26:46,172 - INFO - Mapping ('1', '2387') to 10002387.tif
2024-10-17 11:26:46,172 - INFO - Mapping ('1', '2433') to 10002433.tif
2024-10-17 11:26:46,172 - INFO - Mapping ('1', '2377') to 10002377.tif
2024-10-17 11:26:46,172 - INFO - Mapping ('1', '2464') to 10002464.tif
2024-10-17 11:26:46,173 - INFO - Mapping ('2', '2505') to 20002505.tif
2024-10-17 11:26:46,173 - INFO - Mapping ('1', '2389') to 10002389.tif
2024-10-17 11:26:46,173 - INFO - Mapping ('1', '2297') to 10002297.tif
2024-10-17 11:26:46,173 - INFO - Mapping ('2', '2331') to 20002331.tif
2024-10-17 11:26:46,174 - INFO - Mapping ('1', '2609') to 10002609.tif
2024-10-17 11:26:46,174 - INFO - Mapping ('2', '2303') to 20002303.tif
2024-10-17 11:26:46,174 - INFO - Mapping ('1', '2202') to 10002202.tif
2024-10-17 11:26:46,174 - INFO - Mapping ('1', '2531') to 10002531.tif
2024-10-17 11:26:46,174 - INFO - Mapping ('2', '2366') to 20002366.tif
2024-10-17 11:26:46,175 - INFO - Mapping ('1', '2206') to 10002206.tif
2024-10-17 11:26:46,175 - INFO - Mapping ('1', '2410') to 10002410.tif
2024-10-17 11:26:46,175 - INFO - Mapping ('1', '2319') to 10002319.tif
2024-10-17 11:26:46,175 - INFO - Mapping ('1', '2507') to 10002507.tif
2024-10-17 11:26:46,176 - INFO - Mapping ('1', '2489') to 10002489.tif
2024-10-17 11:26:46,176 - INFO - Mapping ('2', '2510') to 20002510.tif
2024-10-17 11:26:46,176 - INFO - Mapping ('1', '2218') to 10002218.tif
2024-10-17 11:26:46,176 - INFO - Mapping ('2', '2297') to 20002297.tif
2024-10-17 11:26:46,176 - INFO - Mapping ('1', '2422') to 10002422.tif
2024-10-17 11:26:46,177 - INFO - Mapping ('1', '2275') to 10002275.tif
2024-10-17 11:26:46,177 - INFO - Mapping ('1', '2605') to 10002605.tif
2024-10-17 11:26:46,177 - INFO - Mapping ('1', '2610') to 10002610.tif
2024-10-17 11:26:46,177 - INFO - Mapping ('2', '2207') to 20002207.tif
